Topic,Name,URL,Answer Choices,Correct Answer
102,W13_E1_Q01,https://docs.google.com/document/d/1CG-obx61DFbB9h3izm3jFDgKXaAdUL6Ti2njOyBV_nY/pub,5,3
105,W13_E1_Q02,https://docs.google.com/document/d/1UgRbNRf_J-Dd-BUJZN4HazOseIqJ4fLmOnC7ob-gMrM/pub,5,2
104,W13_E1_Q03,https://docs.google.com/document/d/1B29oA0Z-SwPnVHOXkrUSp7-GdJejCEFKBf8_QlfQHyE/pub,5,4
102,W13_E1_Q04,https://docs.google.com/document/d/167mywZmQuDCEzimbgV5klbhrrLMZH2oDLPwhNjNTyBY/pub,5,4
106,W13_E1_Q05,https://docs.google.com/document/d/17SRAsy7pk2R6vNIj_EkAefdmJxfLk9AlnCqK5a1ir0g/pub,5,2
103,W13_E1_Q06,https://docs.google.com/document/d/1YnKZGAyAkc8_OpL8h3vLL5sBhzndx2SGJLqL9SeZFew/pub,5,1
103,W13_E1_Q07,https://docs.google.com/document/d/1wzR0B_blUHnmsF6MuIxEyWuU1IFsOekbqpoltQG5zA8/pub,5,1
101,W13_E1_Q08,https://docs.google.com/document/d/1OXM6ZYGiLFzE-McAHdvpFJ4o7IM-V1HdHfOY8ghdb40/pub,5,1
101,W13_E1_Q09,https://docs.google.com/document/d/1WhVhureW67BKh3vCeTPANVJHExmBPb2WQ2bFLpkbCcM/pub,5,2
105,W13_E1_Q10,https://docs.google.com/document/d/1PcLbseNTzG6j6K67jZMlwtsyMaIRUl91WwrMsVT6jUU/pub,5,1
104,W13_E1_Q11,https://docs.google.com/document/d/1siCHU8wckMReZmBEOiRShHe3HDcVXyJBrnQBIpHn0sM/pub,5,2
106,W13_E1_Q12,https://docs.google.com/document/d/1bNiXxOP2_WqOpplgWTWDw1lm_LKCElGILzP43toUKb8/pub,5,4
102,W13_E1_Q13,https://docs.google.com/document/d/1gBor1DGR6ABW5rPmCJB2mgZfEEim_zh72VqU-ZZeGNM/pub,5,4
106,W13_E1_Q14,https://docs.google.com/document/d/1YL8DYJ0Rmj286Isl3EmwCQgJv62Y_8yAFLcVLSsbIyQ/pub,5,2
105,W13_E1_Q15,https://docs.google.com/document/d/1KmLaMBD5d1F48kDwggdd3HGHs2dwaHD5H8HEwxyon3s/pub,5,5
106,W13_E1_Q16,https://docs.google.com/document/d/1-0Vn1hghfzfPcPYuKx8iDDDljfPfK5IYRxToTFX4Xho/pub,5,4
105,W13_E1_Q17,https://docs.google.com/document/d/1aKlq15KXz6MpK1AC3iuPeFCS86t02uZ4np2Jl3_uUUs/pub,5,4
104,W13_E1_Q18,https://docs.google.com/document/d/1YTbmOFqxCWQY3JuhCWVFO2u09mjPU85Jf54RtyTBNLs/pub,5,5
103,W13_E1_Q19,https://docs.google.com/document/d/1jwJPtIVRnBPD-b8ghvFswR1JS_UunJ0ivZnf5Zyliaw/pub,5,5
106,W13_E1_Q20,https://docs.google.com/document/d/1TppodgkDmrA5WMz3OrlPltNsXwb-7wYIF50Kzo3ODE8/pub,5,2
103,W13_E1_Q21,https://docs.google.com/document/d/1wW5V56kml6CTw1sL3jbyUSdsjn0sHjYiPzZSWM8Yw-A/pub,5,2
103,W13_E1_Q22,https://docs.google.com/document/d/1y6SOZDaUGkmkI8DUK07zNLoKQNdmf8t0Q4GoRV80OUg/pub,5,3
106,W13_E1_Q23,https://docs.google.com/document/d/1uKQ2o93YWLIcWSlVvp1JhhthPsOxNYBtMJH4rrQkP2k/pub,5,5
104,W13_E1_Q24,https://docs.google.com/document/d/1o3Y2L5vecyIBidqRembkRWl3oiGKGibNNImAIi1FouA/pub,5,4
103,W13_E1_Q25,https://docs.google.com/document/d/1f8u2XVGCsp05OCt2ydNwN5El_AOB6or1D3QU-FXq50A/pub,5,3
101,F11_E1_Q01,https://docs.google.com/document/d/15IiaG44UeF3xqzPNJGZL7CR2JWCYDDA5XF04EBPTDVM/pub,5,1
